decade,genre1,genre2,movie_count,combination
1930,Romance,Sci-Fi,2,Romance + Sci-Fi
1930,Romance,Sport,48,Romance + Sport
1930,Romance,Thriller,18,Romance + Thriller
1930,Romance,War,74,Romance + War
1930,Romance,Western,31,Romance + Western
1930,Sci-Fi,Thriller,2,Sci-Fi + Thriller
1930,Sci-Fi,War,2,Sci-Fi + War
1930,Sci-Fi,Western,1,Sci-Fi + Western
1930,Sport,Thriller,1,Sport + Thriller
1930,Thriller,War,3,Thriller + War
1930,War,Western,3,War + Western
1940,Action,Adventure,250,Action + Adventure
1940,Action,Biography,14,Action + Biography
1940,Action,Comedy,102,Action + Comedy
1940,Action,Crime,172,Action + Crime
1940,Action,Documentary,4,Action + Documentary
1940,Action,Drama,318,Action + Drama
1940,Action,Family,11,Action + Family
1940,Action,Fantasy,19,Action + Fantasy
1940,Action,Film-Noir,3,Action + Film-Noir
1940,Action,History,14,Action + History
1940,Action,Horror,5,Action + Horror
1940,Action,Music,24,Action + Music
1940,Action,Musical,8,Action + Musical
1940,Action,Mystery,22,Action + Mystery
1940,Action,Romance,53,Action + Romance
1940,Action,Sci-Fi,6,Action + Sci-Fi
1940,Action,Sport,5,Action + Sport
1940,Action,Thriller,11,Action + Thriller
1940,Action,War,47,Action + War
1940,Action,Western,13,Action + Western
1940,Adventure,Animation,10,Adventure + Animation
1940,Adventure,Biography,18,Adventure + Biography
1940,Adventure,Comedy,155,Adventure + Comedy
1940,Adventure,Crime,103,Adventure + Crime
1940,Adventure,Documentary,7,Adventure + Documentary
1940,Adventure,Drama,359,Adventure + Drama
1940,Adventure,Family,48,Adventure + Family
1940,Adventure,Fantasy,39,Adventure + Fantasy
1940,Adventure,Film-Noir,4,Adventure + Film-Noir
1940,Adventure,History,33,Adventure + History
1940,Adventure,Horror,10,Adventure + Horror
1940,Adventure,Music,18,Adventure + Music
1940,Adventure,Musical,14,Adventure + Musical
1940,Adventure,Mystery,32,Adventure + Mystery
1940,Adventure,Romance,113,Adventure + Romance
1940,Adventure,Sci-Fi,4,Adventure + Sci-Fi
1940,Adventure,Sport,1,Adventure + Sport
1940,Adventure,Thriller,13,Adventure + Thriller
1940,Adventure,War,35,Adventure + War
1940,Adventure,Western,15,Adventure + Western
1940,Animation,Comedy,11,Animation + Comedy
1940,Animation,Documentary,4,Animation + Documentary
1940,Animation,Drama,3,Animation + Drama
1940,Animation,Family,12,Animation + Family
1940,Animation,Fantasy,5,Animation + Fantasy
1940,Animation,History,1,Animation + History
1940,Animation,Musical,1,Animation + Musical
1940,Animation,Romance,2,Animation + Romance
1940,Biography,Comedy,9,Biography + Comedy
1940,Biography,Crime,5,Biography + Crime
1940,Biography,Documentary,6,Biography + Documentary
1940,Biography,Drama,170,Biography + Drama
1940,Biography,Family,6,Biography + Family
1940,Biography,Fantasy,1,Biography + Fantasy
1940,Biography,History,46,Biography + History
1940,Biography,Music,15,Biography + Music
1940,Biography,Musical,19,Biography + Musical
1940,Biography,Mystery,2,Biography + Mystery
1940,Biography,Romance,15,Biography + Romance
1940,Biography,Sport,2,Biography + Sport
1940,Biography,War,9,Biography + War
1940,Comedy,Crime,227,Comedy + Crime
1940,Comedy,Documentary,1,Comedy + Documentary
1940,Comedy,Drama,715,Comedy + Drama
1940,Comedy,Family,144,Comedy + Family
1940,Comedy,Fantasy,90,Comedy + Fantasy
1940,Comedy,Film-Noir,8,Comedy + Film-Noir
1940,Comedy,History,15,Comedy + History
1940,Comedy,Horror,40,Comedy + Horror
1940,Comedy,Music,279,Comedy + Music
1940,Comedy,Musical,475,Comedy + Musical
1940,Comedy,Mystery,112,Comedy + Mystery
1940,Comedy,Romance,781,Comedy + Romance
1940,Comedy,Sci-Fi,10,Comedy + Sci-Fi
1940,Comedy,Sport,20,Comedy + Sport
1940,Comedy,Thriller,21,Comedy + Thriller
1940,Comedy,War,71,Comedy + War
1940,Comedy,Western,46,Comedy + Western
1940,Crime,Documentary,3,Crime + Documentary
1940,Crime,Drama,869,Crime + Drama
1940,Crime,Family,10,Crime + Family
1940,Crime,Fantasy,3,Crime + Fantasy
1940,Crime,Film-Noir,297,Crime + Film-Noir
1940,Crime,History,4,Crime + History
1940,Crime,Horror,38,Crime + Horror
1940,Crime,Music,18,Crime + Music
1940,Crime,Musical,15,Crime + Musical
1940,Crime,Mystery,220,Crime + Mystery
1940,Crime,Romance,80,Crime + Romance
1940,Crime,Sci-Fi,3,Crime + Sci-Fi
1940,Crime,Sport,5,Crime + Sport
1940,Crime,Thriller,60,Crime + Thriller
1940,Crime,War,5,Crime + War
1940,Crime,Western,1,Crime + Western
1940,Documentary,Drama,12,Documentary + Drama
1940,Documentary,Family,1,Documentary + Family
1940,Documentary,History,32,Documentary + History
1940,Documentary,Music,6,Documentary + Music
1940,Documentary,Musical,2,Documentary + Musical
1940,Documentary,Romance,1,Documentary + Romance
1940,Documentary,Sport,9,Documentary + Sport
1940,Documentary,Thriller,1,Documentary + Thriller
1940,Documentary,War,92,Documentary + War
1940,Drama,Family,164,Drama + Family
1940,Drama,Fantasy,86,Drama + Fantasy
1940,Drama,Film-Noir,350,Drama + Film-Noir
1940,Drama,History,221,Drama + History
1940,Drama,Horror,71,Drama + Horror
1940,Drama,Music,328,Drama + Music
1940,Drama,Musical,253,Drama + Musical
1940,Drama,Mystery,240,Drama + Mystery
1940,Drama,Romance,995,Drama + Romance
1940,Drama,Sci-Fi,7,Drama + Sci-Fi
1940,Drama,Sport,44,Drama + Sport
1940,Drama,Thriller,138,Drama + Thriller
1940,Drama,War,520,Drama + War
1940,Drama,Western,976,Drama + Western
1940,Family,Fantasy,28,Family + Fantasy
1940,Family,History,3,Family + History
1940,Family,Horror,1,Family + Horror
1940,Family,Music,9,Family + Music
1940,Family,Musical,16,Family + Musical
1940,Family,Mystery,2,Family + Mystery
1940,Family,Romance,28,Family + Romance
1940,Family,Sci-Fi,2,Family + Sci-Fi
1940,Family,Sport,2,Family + Sport
1940,Family,War,1,Family + War
1940,Family,Western,8,Family + Western
1940,Fantasy,Film-Noir,1,Fantasy + Film-Noir
1940,Fantasy,History,3,Fantasy + History
1940,Fantasy,Horror,25,Fantasy + Horror
1940,Fantasy,Music,5,Fantasy + Music
1940,Fantasy,Musical,15,Fantasy + Musical
1940,Fantasy,Mystery,11,Fantasy + Mystery
1940,Fantasy,Romance,32,Fantasy + Romance
1940,Fantasy,Sci-Fi,4,Fantasy + Sci-Fi
1940,Fantasy,Thriller,2,Fantasy + Thriller
1940,Fantasy,War,1,Fantasy + War
1940,Film-Noir,Horror,8,Film-Noir + Horror
1940,Film-Noir,Music,3,Film-Noir + Music
1940,Film-Noir,Mystery,46,Film-Noir + Mystery
1940,Film-Noir,Romance,17,Film-Noir + Romance
1940,Film-Noir,Sport,3,Film-Noir + Sport
1940,Film-Noir,Thriller,22,Film-Noir + Thriller
1940,History,Music,6,History + Music
1940,History,Musical,15,History + Musical
1940,History,Romance,25,History + Romance
1940,History,Sci-Fi,1,History + Sci-Fi
1940,History,Sport,1,History + Sport
1940,History,Thriller,1,History + Thriller
1940,History,War,61,History + War
1940,History,Western,9,History + Western
1940,Horror,Music,5,Horror + Music
1940,Horror,Musical,1,Horror + Musical
1940,Horror,Mystery,59,Horror + Mystery
1940,Horror,Romance,12,Horror + Romance
1940,Horror,Sci-Fi,22,Horror + Sci-Fi
1940,Horror,Thriller,23,Horror + Thriller
1940,Horror,War,1,Horror + War
1940,Music,Musical,20,Music + Musical
1940,Music,Mystery,6,Music + Mystery
1940,Music,Romance,148,Music + Romance
1940,Music,Sport,5,Music + Sport
1940,Music,Thriller,1,Music + Thriller
1940,Music,War,8,Music + War
1940,Music,Western,169,Music + Western
1940,Musical,Mystery,12,Musical + Mystery
1940,Musical,Romance,245,Musical + Romance
1940,Musical,Thriller,3,Musical + Thriller
1940,Musical,War,11,Musical + War
1940,Musical,Western,11,Musical + Western
1940,Mystery,Romance,54,Mystery + Romance
1940,Mystery,Sci-Fi,4,Mystery + Sci-Fi
1940,Mystery,Thriller,35,Mystery + Thriller
1940,Mystery,War,7,Mystery + War
1940,Mystery,Western,3,Mystery + Western
1940,Romance,Sci-Fi,2,Romance + Sci-Fi
1940,Romance,Sport,19,Romance + Sport
1940,Romance,Thriller,15,Romance + Thriller
1940,Romance,War,116,Romance + War
1940,Romance,Western,25,Romance + Western
1940,Sci-Fi,Thriller,3,Sci-Fi + Thriller
1940,Sci-Fi,War,2,Sci-Fi + War
1940,Sport,Thriller,1,Sport + Thriller
1940,Sport,Western,1,Sport + Western
1940,Thriller,War,24,Thriller + War
1940,Thriller,Western,1,Thriller + Western
1940,War,Western,5,War + Western
1950,Action,Adventure,363,Action + Adventure
1950,Action,Biography,17,Action + Biography
1950,Action,Comedy,73,Action + Comedy
1950,Action,Crime,220,Action + Crime
1950,Action,Documentary,1,Action + Documentary
1950,Action,Drama,566,Action + Drama
1950,Action,Family,21,Action + Family
1950,Action,Fantasy,92,Action + Fantasy
1950,Action,Film-Noir,6,Action + Film-Noir
